categorie,nom_exercice,description,gif_url
Exercices epaules,Élévation frontale sur banc incliné,"Cette variante des élévations frontales cible spécifiquement les muscles deltoïdes antérieurs et les muscles du haut du dos (trapèzes). Cet exercice est particulièrement apprécié pour sa capacité à isoler et à renforcer ces groupes musculaires. En plus de renforcer les muscles deltoïdes et du haut du dos, il aide également à améliorer la mobilité de l’épaule, la posture et l’équilibre musculaire entre les deux côtés du corps. La réalisation des élévations frontales sur banc incliné offre de nombreux avantages :",https://www.docteur-fitness.com/wp-content/uploads/2023/08/elevation-frontale-banc-incline.gif
Exercices epaules,Développé épaules assis,"Le développé épaules assis est un exercice de musculation original et exigeant qui cible le haut du corps, en particulier les muscles des épaules (et les triceps dans une moindre mesure), mais aussi la sangle abdominale. C’est là la grande différence avec un développé épaules classique sur un banc de musculation : les abdominaux sont obligés de travailler dur pour stabiliser le corps pendant l’exercice.",https://www.docteur-fitness.com/wp-content/uploads/2023/05/developpe-epaules-assis-dumbbell-z-press.gif
Exercices epaules,Russian twist avec développé épaules,"L’exercice du Russian Twist avec développé épaules (en anglais Russian Twist with Overhead Press) est une combinaison dynamique entre le Russian Twist et le développé épaules, offrant une approche complète de renforcement musculaire. En combinant la torsion du buste avec le mouvement de développé au-dessus de la tête, cet exercice sollicite les muscles abdominaux, les obliques, les épaules, les bras et les muscles du haut du dos. Il présente de nombreux avantages, notamment l’amélioration de la force fonctionnelle, car le mouvement engage plusieurs groupes musculaires en même temps. Votre stabilité du tronc sera également mise à l’épreuve, renforçant ainsi votre équilibre et votre coordination. Par ailleurs, cet exercice sollicite plusieurs groupes musculaires simultanément, ce qui permet de travailler l’endurance musculaire de manière efficace.",https://www.docteur-fitness.com/wp-content/uploads/2023/07/russian-twist-avec-developpe-epaule.gif
Exercices epaules,Développé militaire,"Le développé militaire (military press) est un exercice qui permet de solliciter les muscles des épaules, des pectoraux, du haut du dos, des triceps et de la ceinture abdominale, ce qui en fait un exercice difficile pour les débutants.",https://www.docteur-fitness.com/wp-content/uploads/2000/08/developpe-militaire-exercice-musculation.gif
Exercices epaules,Développé Arnold,"Le développé Arnold (dumbbell Arnold press) est un exercice très efficace pour développer les muscles deltoïdes. Il s’agit d’une variante unique du développé épaules avec haltères, qui doit son nom au bodybuilder, acteur et gouverneur emblématique Arnold Schwarzenegger.",https://www.docteur-fitness.com/wp-content/uploads/2000/08/developpe-arnold-exercice-musculation.gif
Exercices epaules,Face pull,"Le face pull est un exercice d’isolation à la poulie qui permet de faire travailler principalement les épaules et secondairement le dos. Il cible spécifiquement les deltoïdes postérieurs (arrière des épaules), et sollicite aussi les rhomboïdes (les muscles qui vous permettent de serrer vos omoplates) et le milieu des trapèzes.",https://www.docteur-fitness.com/wp-content/uploads/2022/01/face-pull.gif
Exercices epaules,Élévations latérales à la poulie,Les élévations latérales à la poulie sont une variante très appréciée pour l’entraînement des épaules. Il s’agit d’un exercice d’isolation permettant de cibler précisément les muscles deltoïdes. Les élévations latérales peuvent également être effectuées avec des haltères ou une machine à élévation latérale.,https://www.docteur-fitness.com/wp-content/uploads/2022/02/elevations-laterales-poulie.gif
Exercices epaules,Élévations latérales à la machine,Les élévations latérales guidées à la machine permettent d’isoler et de développer efficacement le chef latéral du deltoïde afin de lui donner cette largeur tant recherchée.,https://www.docteur-fitness.com/wp-content/uploads/2022/02/elevation-laterale-machine.gif
Exercices epaules,Développé épaules avec haltères,L’exercice du développé épaules avec haltères est un excellent choix pour l’entraînement des épaules. Il s’agit d’un exercice de base qui nécessite une bonne coordination.,https://www.docteur-fitness.com/wp-content/uploads/2022/02/developpe-epaule-halteres.gif
Exercices epaules,Développé épaules debout à la landmine,Le développé à la landmine (en anglais landmine press) est un exercice de musculation qui consiste à lever une barre calée dans une « mine de terre ».,https://www.docteur-fitness.com/wp-content/uploads/2022/02/developpe-landmine.gif
Exercices epaules,Rotation externe de l’épaule à la poulie,"Le muscle infra-épineux ou sous-épineux de l’épaule est responsable de la rotation externe de l’humérus et il est important pour la stabilisation de l’épaule. Les rotateurs de l’épaule sont essentiels pour les mouvements de poussée comme le développé couché et le développé militaire pour les épaules, donc améliorer la force dans cette zone grâce à des exercices de renforcement augmentera considérablement vos performances de force.",https://www.docteur-fitness.com/wp-content/uploads/2022/04/rotation-externe-epaule-poulie.gif
Exercices epaules,Pec deck inversé,"Le pec deck inversé (machine Reverse Fly ou reverse butterfly en anglais) est une variante sur machine des élévations latérales buste penché (exercice communément appelé « l’oiseau »), un exercice utilisé pour cibler les muscles deltoïdes postérieurs de l’épaule.",https://www.docteur-fitness.com/wp-content/uploads/2021/12/pec-deck-inverse.gif
Exercices epaules,Élévations frontales,"Les élévations frontales avec haltères (dumbbell front raise) sont un exercice de musculation qui cible les muscles des épaules, et plus particulièrement la partie antérieure des muscles.",https://www.docteur-fitness.com/wp-content/uploads/2000/08/elevations-frontales-exercice-musculation.gif
Exercices epaules,Élévations latérales,Les élévations latérales (dumbbell lateral raise) sont un exercice de musculation pour les épaules qui consiste à élever une paire d’haltères sur les côtés du corps.,https://www.docteur-fitness.com/wp-content/uploads/2000/08/elevations-laterales-exercice-musculation.gif
