exercise_key,age_bucket,Gender,BMI_bucket,count,avg_calories,avg_duration,median_intensity,cal_norm,int_norm,score
exercise 2,31-45,Female,obese,13,318.2983631,36.53846153846154,7.0,0.8661047857580578,1.0,0.9196628714548347
exercise 4,31-45,Female,normal,35,300.7202433828572,43.25714285714286,7.0,0.8182738969549558,1.0,0.8909643381729735
exercise 9,31-45,Female,overweight,35,333.7225977885714,38.857142857142854,6.0,0.9080748523029182,0.8571428571428571,0.8877020542388937
exercise 4,31-45,Female,obese,17,367.5056047882353,41.88235294117647,5.0,1.0,0.7142857142857142,0.8857142857142857
exercise 9,31-45,Female,normal,22,297.3404757090909,45.36363636363637,7.0,0.8090773904806838,1.0,0.8854464342884103
exercise 4,31-45,Female,overweight,22,331.18930230454544,37.95454545454545,6.0,0.9011816363872434,0.8571428571428571,0.8835661246894888
exercise 6,31-45,Female,normal,18,293.4364763888889,35.388888888888886,6.5,0.7984544250909407,0.9285714285714285,0.8505012264831358
exercise 6,31-45,Female,overweight,22,273.8568709272727,38.45454545454545,7.0,0.745177399634694,1.0,0.8471064397808163
exercise 6,31-45,Female,obese,18,356.98615826111114,39.55555555555556,4.5,0.9713760922552849,0.6428571428571428,0.839968512496028
exercise 8,31-45,Female,normal,22,321.4376635590909,44.22727272727273,5.5,0.874646969654545,0.7857142857142857,0.8390738960784413
exercise 5,31-45,Female,normal,31,302.52230000000003,42.806451612903224,6.0,0.8231773775921593,0.8571428571428571,0.8367635694124385
exercise 2,31-45,Female,overweight,21,300.6738665285714,41.61904761904762,6.0,0.818147703357684,0.8571428571428571,0.8337457648717532
exercise 10,31-45,Female,normal,33,331.76373544848485,38.666666666666664,5.0,0.9027446959336969,0.7142857142857142,0.8273611032745039
exercise 3,31-45,Female,overweight,22,313.16764180454544,45.68181818181818,5.5,0.8521438522958021,0.7857142857142857,0.8255720256631955
exercise 1,31-45,Female,normal,33,280.92679158787877,40.121212121212125,6.0,0.7644149855884643,0.8571428571428571,0.8015061342102214
exercise 2,31-45,Female,normal,23,276.91762428695654,36.04347826086956,6.0,0.7535058531869806,0.8571428571428571,0.7949606547693312
exercise 1,31-45,Female,obese,23,310.85114219130435,38.0,5.0,0.8458405481201395,0.7142857142857142,0.7932186145863694
exercise 7,31-45,Female,overweight,19,274.1386602842105,37.1578947368421,6.0,0.7459441617010852,0.8571428571428571,0.790423639877794
exercise 8,31-45,Female,overweight,26,324.91201833076923,42.69230769230769,4.5,0.8841008520618089,0.6428571428571428,0.7876033683799424
exercise 3,31-45,Female,normal,35,301.7807283742857,39.08571428571429,5.0,0.821159526391926,0.7142857142857142,0.7784100015494413
exercise 10,31-45,Female,obese,15,261.54735850000003,45.93333333333333,6.0,0.7116826385565175,0.8571428571428571,0.7698667259910533
exercise 5,31-45,Female,overweight,24,296.4881932125,42.958333333333336,5.0,0.8067582898044314,0.7142857142857142,0.7697692595969445
exercise 5,31-45,Female,obese,21,321.0044229,41.523809523809526,4.0,0.8734681014864242,0.5714285714285714,0.752652289463283
exercise 10,31-45,Female,overweight,31,285.9161918935484,37.87096774193548,5.0,0.7779913780044239,0.7142857142857142,0.75250911251694
exercise 7,31-45,Female,obese,16,280.85699130625,43.375,5.0,0.7642250557459821,0.7142857142857142,0.7442493191618749
exercise 9,31-45,Female,obese,21,314.5721589333333,39.57142857142857,4.0,0.8559656093261396,0.5714285714285714,0.7421507941671123
exercise 8,31-45,Female,obese,20,310.6192598,38.3,4.0,0.8452095852496877,0.5714285714285714,0.7356971797212412
exercise 7,31-45,Female,normal,31,304.1289831677419,38.806451612903224,4.0,0.8275492379034263,0.5714285714285714,0.7251009713134843
exercise 1,31-45,Female,overweight,22,288.23130492727273,42.63636363636363,4.0,0.7842909092321404,0.5714285714285714,0.6991459741107128
exercise 3,31-45,Female,obese,12,251.75801478333335,38.666666666666664,3.5,0.6850453748274173,0.5,0.6110272248964503
exercise 8,31-45,Female,underweight,0,,,,0.0,0.0,0.0
exercise 9,31-45,Female,underweight,0,,,,0.0,0.0,0.0
exercise 1,31-45,Female,underweight,0,,,,0.0,0.0,0.0
exercise 7,31-45,Female,underweight,0,,,,0.0,0.0,0.0
exercise 6,31-45,Female,underweight,0,,,,0.0,0.0,0.0
exercise 4,31-45,Female,underweight,0,,,,0.0,0.0,0.0
exercise 3,31-45,Female,underweight,0,,,,0.0,0.0,0.0
exercise 2,31-45,Female,underweight,0,,,,0.0,0.0,0.0
exercise 10,31-45,Female,underweight,0,,,,0.0,0.0,0.0
exercise 5,31-45,Female,underweight,0,,,,0.0,0.0,0.0
