exercise_key,age_bucket,Gender,BMI_bucket,count,avg_calories,avg_duration,median_intensity,cal_norm,int_norm,score
exercise 4,46-60,Male,obese,21,352.9767669761905,44.42857142857143,8.0,0.9999999999999999,1.0,0.9999999999999999
exercise 7,46-60,Male,obese,25,308.2518454,38.92,7.0,0.8732921660557693,0.875,0.8739752996334615
exercise 1,46-60,Male,overweight,12,320.647314125,42.333333333333336,6.5,0.9084091195912299,0.8125,0.8700454717547379
exercise 10,46-60,Male,normal,28,323.52758589999996,39.5,6.0,0.9165690667732332,0.75,0.84994144006394
exercise 4,46-60,Male,overweight,27,291.18364754814814,38.629629629629626,7.0,0.8249371482508634,0.875,0.8449622889505181
exercise 7,46-60,Male,normal,27,317.4520657703703,42.51851851851852,6.0,0.8993568287506682,0.75,0.8396140972504009
exercise 10,46-60,Male,overweight,23,315.6891292826087,38.34782608695652,6.0,0.8943623456778473,0.75,0.8366174074067084
exercise 9,46-60,Male,overweight,19,312.5977183052632,37.0,6.0,0.8856042310749278,0.75,0.8313625386449567
exercise 9,46-60,Male,normal,24,310.29683049166664,37.5,6.0,0.8790857062629202,0.75,0.8274514237577522
exercise 5,46-60,Male,normal,31,293.7207161548387,39.935483870967744,6.0,0.8321247845035965,0.75,0.799274870702158
exercise 5,46-60,Male,overweight,18,292.75632762777775,35.44444444444444,6.0,0.8293926258538289,0.75,0.7976355755122974
exercise 9,46-60,Male,obese,18,305.53715312777774,39.27777777777778,5.5,0.8656013134949113,0.6875,0.7943607880969468
exercise 6,46-60,Male,overweight,17,313.05182216470587,40.35294117647059,5.0,0.8868907289465379,0.625,0.7821344373679227
exercise 2,46-60,Male,normal,28,298.1725415428572,41.67857142857143,5.5,0.8447370179549804,0.6875,0.7818422107729882
exercise 8,46-60,Male,obese,29,282.91644115517244,43.89655172413793,6.0,0.8015157586115466,0.75,0.780909455166928
exercise 8,46-60,Male,normal,22,293.12262048636364,41.27272727272727,5.5,0.8304303509758639,0.6875,0.7732582105855184
exercise 3,46-60,Male,normal,28,305.5373228928571,39.75,5.0,0.8656017944474703,0.625,0.7693610766684822
exercise 10,46-60,Male,obese,15,274.11792162666666,38.06666666666667,6.0,0.7765891335424828,0.75,0.7659534801254897
exercise 4,46-60,Male,normal,30,303.0866875533333,38.4,5.0,0.8586590277591203,0.625,0.7651954166554722
exercise 1,46-60,Male,obese,22,311.60187080000003,37.63636363636363,4.5,0.8827829476409098,0.5625,0.7546697685845458
exercise 8,46-60,Male,overweight,24,308.48312200833334,41.958333333333336,4.5,0.8739473837073859,0.5625,0.7493684302244314
exercise 6,46-60,Male,obese,25,292.46009128000003,41.4,5.0,0.8285533741650692,0.625,0.7471320244990416
exercise 2,46-60,Male,overweight,17,312.5534761,38.411764705882355,4.0,0.8854788907992995,0.5,0.7312873344795796
exercise 5,46-60,Male,obese,19,280.8895276473684,39.73684210526316,5.0,0.79577341606258,0.625,0.727464049637548
exercise 7,46-60,Male,overweight,24,298.10691639166663,43.208333333333336,4.0,0.8445510987746537,0.5,0.7067306592647922
exercise 1,46-60,Male,normal,34,266.6895593382353,41.23529411764706,5.0,0.7555442292218185,0.625,0.703326537533091
exercise 2,46-60,Male,obese,15,287.99722786,38.53333333333333,4.0,0.8159098694431252,0.5,0.689545921665875
exercise 3,46-60,Male,overweight,28,272.2277536964286,38.464285714285715,4.0,0.7712341977306151,0.5,0.662740518638369
exercise 6,46-60,Male,normal,25,272.062415336,37.04,4.0,0.7707657862772355,0.5,0.6624594717663412
exercise 3,46-60,Male,obese,17,265.3787113882353,43.529411764705884,4.0,0.7518305345182562,0.5,0.6510983207109537
exercise 8,46-60,Male,underweight,0,,,,0.0,0.0,0.0
exercise 9,46-60,Male,underweight,0,,,,0.0,0.0,0.0
exercise 1,46-60,Male,underweight,0,,,,0.0,0.0,0.0
exercise 7,46-60,Male,underweight,0,,,,0.0,0.0,0.0
exercise 6,46-60,Male,underweight,0,,,,0.0,0.0,0.0
exercise 4,46-60,Male,underweight,0,,,,0.0,0.0,0.0
exercise 3,46-60,Male,underweight,0,,,,0.0,0.0,0.0
exercise 2,46-60,Male,underweight,0,,,,0.0,0.0,0.0
exercise 10,46-60,Male,underweight,0,,,,0.0,0.0,0.0
exercise 5,46-60,Male,underweight,0,,,,0.0,0.0,0.0
