exercise_key,age_bucket,Gender,BMI_bucket,count,avg_calories,avg_duration,median_intensity,cal_norm,int_norm,score
exercise 10,<18,Female,overweight,1,408.0797593,58.0,10.0,0.8918165515478836,1.0,0.9350899309287302
exercise 3,<18,Female,normal,1,457.5826257,42.0,8.0,1.0,0.8,0.92
exercise 5,<18,Female,normal,2,330.8190175,31.5,8.0,0.7229711071173653,0.8,0.7537826642704193
exercise 7,<18,Female,overweight,2,350.6983179,53.5,6.5,0.7664152837173599,0.65,0.719849170230416
exercise 2,<18,Female,overweight,1,260.6949492,46.0,9.0,0.5697221322623308,0.9,0.7018332793573985
exercise 8,<18,Female,normal,1,427.3286252,38.0,3.0,0.9338829780660529,0.30000000000000004,0.6803297868396317
exercise 4,<18,Female,overweight,2,313.13839790000003,48.0,5.0,0.6843319223953657,0.5,0.6105991534372194
exercise 1,<18,Female,overweight,4,246.39087775000002,41.0,7.0,0.5384620479701925,0.7000000000000001,0.6030772287821156
exercise 3,<18,Female,obese,2,289.36033255,48.0,5.5,0.6323673939921622,0.55,0.5994204363952973
exercise 7,<18,Female,normal,1,315.0315066,39.0,4.0,0.6884691177206993,0.4,0.5730814706324197
exercise 8,<18,Female,obese,1,332.0700086,30.0,3.0,0.7257050201414585,0.30000000000000004,0.5554230120848751
exercise 6,<18,Female,obese,2,285.97149635,39.5,4.5,0.6249614392865703,0.45,0.5549768635719422
exercise 3,<18,Female,overweight,4,279.95467155,39.0,4.5,0.6118122844409387,0.45,0.5470873706645633
exercise 2,<18,Female,normal,1,321.4660516,44.0,3.0,0.7025311573144374,0.30000000000000004,0.5415186943886624
exercise 2,<18,Female,obese,1,215.9741306,35.0,6.0,0.4719893598879709,0.6000000000000001,0.5231936159327826
exercise 9,<18,Female,normal,1,120.2453742,20.0,9.0,0.2627839595440304,0.9,0.5176703757264183
exercise 4,<18,Female,obese,2,241.2128725,50.0,5.0,0.5271460474072803,0.5,0.5162876284443683
exercise 9,<18,Female,obese,2,328.96329025,49.5,2.0,0.718915605125433,0.2,0.5113493630752598
exercise 5,<18,Female,obese,4,312.008489775,35.25,2.5,0.6818626238216456,0.25,0.5091175742929874
exercise 4,<18,Female,normal,1,219.0104803,25.0,2.0,0.4786249914208664,0.2,0.36717499485251986
exercise 1,<18,Female,obese,1,136.799053,26.0,2.0,0.29896033047742526,0.2,0.2593761982864552
exercise 1,<18,Female,normal,1,118.1174689,59.0,2.0,0.2581336402782043,0.2,0.23488018416692258
exercise 8,<18,Female,overweight,0,,,,0.0,0.0,0.0
exercise 7,<18,Female,underweight,0,,,,0.0,0.0,0.0
exercise 9,<18,Female,underweight,0,,,,0.0,0.0,0.0
exercise 8,<18,Female,underweight,0,,,,0.0,0.0,0.0
exercise 7,<18,Female,obese,0,,,,0.0,0.0,0.0
exercise 9,<18,Female,overweight,0,,,,0.0,0.0,0.0
exercise 1,<18,Female,underweight,0,,,,0.0,0.0,0.0
exercise 6,<18,Female,overweight,0,,,,0.0,0.0,0.0
exercise 6,<18,Female,normal,0,,,,0.0,0.0,0.0
exercise 6,<18,Female,underweight,0,,,,0.0,0.0,0.0
exercise 5,<18,Female,overweight,0,,,,0.0,0.0,0.0
exercise 4,<18,Female,underweight,0,,,,0.0,0.0,0.0
exercise 3,<18,Female,underweight,0,,,,0.0,0.0,0.0
exercise 2,<18,Female,underweight,0,,,,0.0,0.0,0.0
exercise 10,<18,Female,obese,0,,,,0.0,0.0,0.0
exercise 10,<18,Female,normal,0,,,,0.0,0.0,0.0
exercise 10,<18,Female,underweight,0,,,,0.0,0.0,0.0
exercise 5,<18,Female,underweight,0,,,,0.0,0.0,0.0
