exercise_key,age_bucket,Gender,BMI_bucket,count,avg_calories,avg_duration,median_intensity,cal_norm,int_norm,score
exercise 8,<18,Male,overweight,1,478.7634655,46.0,6.0,0.9999999999999999,0.6000000000000001,0.8399999999999999
exercise 10,<18,Male,normal,2,446.04360465,32.5,5.0,0.9316575653578144,0.5,0.7589945392146886
exercise 9,<18,Male,obese,2,397.6314897,36.5,5.5,0.8305384983474683,0.55,0.718323099008481
exercise 2,<18,Male,normal,3,321.97354916666666,36.0,7.0,0.6725106913294048,0.7000000000000001,0.6835064147976428
exercise 6,<18,Male,obese,2,332.79440239999997,38.5,6.5,0.6951123600303205,0.65,0.6770674160181923
exercise 4,<18,Male,obese,3,299.7669808333333,33.666666666666664,7.0,0.6261275189832406,0.7000000000000001,0.6556765113899443
exercise 3,<18,Male,obese,4,278.290060525,32.0,7.5,0.5812683727534761,0.75,0.6487610236520858
exercise 6,<18,Male,normal,1,184.8659399,36.0,10.0,0.38613209491023703,1.0,0.6316792569461422
exercise 7,<18,Male,obese,2,422.02577184999996,26.0,2.5,0.8814911793849064,0.25,0.6288947076309438
exercise 1,<18,Male,normal,2,405.39958555,37.0,3.0,0.8467638296640243,0.30000000000000004,0.6280582977984146
exercise 5,<18,Male,normal,5,266.69061794,34.2,7.0,0.5570404534971768,0.7000000000000001,0.6142242720983061
exercise 2,<18,Male,obese,2,390.2394657,47.0,2.5,0.8150986736058705,0.25,0.5890592041635223
exercise 7,<18,Male,normal,2,308.1881742,42.5,5.0,0.6437169842902308,0.5,0.5862301905741385
exercise 2,<18,Male,overweight,3,297.29352853333336,28.333333333333332,5.0,0.6209611842934856,0.5,0.5725767105760913
exercise 4,<18,Male,normal,2,239.13136155,40.5,6.0,0.49947704614482535,0.6000000000000001,0.5396862276868952
exercise 8,<18,Male,obese,4,213.5116898,35.25,6.5,0.44596487657431744,0.65,0.5275789259445904
exercise 5,<18,Male,obese,1,197.2051516,51.0,7.0,0.4119051803463061,0.7000000000000001,0.5271431082077837
exercise 3,<18,Male,normal,2,298.38690955,43.0,3.0,0.6232449446374891,0.30000000000000004,0.4939469667824935
exercise 1,<18,Male,obese,1,228.9487836,25.0,5.0,0.47820855202661655,0.5,0.4869251312159699
exercise 3,<18,Male,overweight,1,285.3950804,32.0,3.0,0.5961087279330005,0.30000000000000004,0.4776652367598003
exercise 8,<18,Male,normal,1,197.0741086,38.0,4.0,0.41163146898476105,0.4,0.40697888139085664
exercise 10,<18,Male,overweight,1,170.6792093,30.0,3.0,0.35650007070140566,0.30000000000000004,0.3339000424208434
exercise 6,<18,Male,overweight,1,124.2373971,32.0,4.0,0.25949640282232433,0.4,0.31569784169339465
exercise 8,<18,Male,underweight,0,,,,0.0,0.0,0.0
exercise 9,<18,Male,overweight,0,,,,0.0,0.0,0.0
exercise 7,<18,Male,overweight,0,,,,0.0,0.0,0.0
exercise 9,<18,Male,underweight,0,,,,0.0,0.0,0.0
exercise 9,<18,Male,normal,0,,,,0.0,0.0,0.0
exercise 1,<18,Male,underweight,0,,,,0.0,0.0,0.0
exercise 7,<18,Male,underweight,0,,,,0.0,0.0,0.0
exercise 6,<18,Male,underweight,0,,,,0.0,0.0,0.0
exercise 5,<18,Male,overweight,0,,,,0.0,0.0,0.0
exercise 4,<18,Male,overweight,0,,,,0.0,0.0,0.0
exercise 4,<18,Male,underweight,0,,,,0.0,0.0,0.0
exercise 3,<18,Male,underweight,0,,,,0.0,0.0,0.0
exercise 2,<18,Male,underweight,0,,,,0.0,0.0,0.0
exercise 10,<18,Male,obese,0,,,,0.0,0.0,0.0
exercise 10,<18,Male,underweight,0,,,,0.0,0.0,0.0
exercise 1,<18,Male,overweight,0,,,,0.0,0.0,0.0
exercise 5,<18,Male,underweight,0,,,,0.0,0.0,0.0
